# pillars fitness generations fitness_evals pillar_sequence
7 0.982 95 9500 [27, 19, 12, 11, 28, 31, 31]
7 0.984 69 6900 [0, 11, 19, 27, 28, 29, 17]
7 0.975 81 8100 [8, 11, 27, 27, 28, 13, 31]
7 0.986 76 7600 [19, 19, 19, 29, 20, 29, 25]
7 0.978 112 11200 [27, 27, 4, 4, 28, 7, 31]
7 0.974 76 7600 [19, 19, 31, 27, 28, 29, 17]
7 0.978 90 9000 [19, 11, 0, 27, 28, 29, 24]
7 0.982 63 6300 [27, 27, 4, 12, 20, 21, 9]
7 0.969 111 11100 [8, 2, 11, 27, 27, 28, 30]
7 0.979 118 11800 [19, 19, 27, 28, 15, 30, 31]
